Character,Dialogue
Cloud,"See what, exactly?"
Aerith,"According to Madam M, you've caught the eye of a certain fabulous someone, and they'd like to meet in person."
Cloud,Huh?
Cloud,Why are we here?
Aerith,"To see the Honeybee Inn's Andrea Rhodea, and convince him to give you his stamp of approval. You said you didn't want me going alone, right? Well, with Andrea's help, you can join me. It'll be fun! And honestly, I think you'll look pretty cute in a dress."
Cloud,What!?
Aerith,"It's pretty rare for Andrea to take a personal interest in someone. At least, that's what Madam M said. Trust me, this is gonna work out great."
Cloud,Uhh...
Aerith,C'mon. Don't you wanna save Tifa?
Cloud,Wait—
Aerith,"No can do, Cloud. This is our plan, and you'll learn to love it. So! Here's how I think we should approach him. Madam M said Andrea was a man who'd give anyone a fair chance to win him over. So I say we march right up to him, explain the situation, and see where that gets us. Sound good?"
Aerith,C'mon. Don't you wanna save Tifa?
Cloud,We're here to see Andrea Rhodea.
Cloud,"""Mr. Cloud""?"
Cloud,What stage?
Cloud,"No, I'm not here for—"
Cloud,Why would I want do that?
Cloud,Hey! Hold on!
Aerith,Woohoo!
Aerith,Woohoo! You're a start!
Aerith,"(laughs) Keep it up, Cloud! Work it!"
Aerith,C'mon Cloud! Get into it!
Aerith,"Uh, umm..."
Aerith,Nice moves! (laughs) I love it!
Aerith,"Well, you tried...?"
Cloud,Please don't.
Cloud,Not a word.
Aerith,Not even one?
Cloud,No!
Aerith,But you're so pretty!
Aerith,Hey! Watch the way you walk.
Aerith,No time to dillydally-let's go!
Aerith,"Here you are—letters from Andrea Rhodea and Madam M. That ought to do the trick, right?"
Aerith,Is there a problem?
Aerith,"Oh, we'll be fine."
Aerith,"What's that weird, sweet smell? And why do I feel so dizzy?"
Cloud,Gas. Come on.
Cloud,Dammit.
Aerith,Cloud...
Aerith,Where...are you...taking us?
Tifa,"Hey, can you hear me?"
Cloud,Tifa!?
Tifa,Yes...?
Cloud,You okay?
Tifa,...Mm-hmm.
Cloud,Good.
Tifa,"Wait a minute. (gasps) Cloud!? Is that you!? Oh my god, that makeup! And that dress!"
Cloud,"Nailed it, I know. Thank you. Moving on."
Cloud,You good?
Aerith,"Yeah. Bit woozy, but I'll manage."
Aerith,"Hey, Tifa. How you doing?"
Tifa,Okay...
Aerith,Oh right—I'm Aerith. A friend of Cloud's. We were worried and thought we'd come help you out?
Tifa,Thanks...?
Cloud,Cut the chatter. We gotta leave.
Tifa,Huh?
Cloud,Right now.
Tifa,No! Not until I've got what I came for.
Cloud,What?
Tifa,"So... After we made it back to the slums, some guys came around asking all kinds of questions. So I did some digging..."
Cloud,And found out they were Corneo's men.
Tifa,Right. They were interested in Avalanche... But...I couldn't figure out why. So I thought I'd come and ask the man himself.
Cloud,Seriously?
Tifa,"Thought if I could find a way in, and get some one-on-one time... But then I realized I'd only be one of three candidates. And that if he didn't pick me...it would all be for nothing."
Aerith,"Then your worries are over, aren't they? Because the other two candidates are right here. Right?"
Cloud,Right...
Aerith,"So yeah! If we're all in on it, then nothing can go wrong!"
Tifa,"Uh, I guess not..."
Aerith,"You—me—Cloud. Makes no difference who gets chosen, does it?"
Tifa,"I dunno, Aerith. It feels wrong getting you involved in all this."
Cloud,Don't even bother trying to talk her out of it.
Aerith,Aww! Cloud gets me! Took you long enough.
Cloud,So what happens now?
Tifa,I think they'll call for us when it's time.
Aerith,This room gives me the creeps.
Cloud,All right guys. Let's do this.
Tifa,(chuckles) Do you want to do this?
Aerith,"""Today's""?"
Cloud,Pathetic.
Cloud,Back off.
Cloud,What was that?
Cloud,Asshole...
Aerith,"Yeah...I guess I'm good to go whenever. How 'bout you, Tifa?"
Tifa,Mmm...Four guys between us... Okay. Let's not keep Cloud waiting.
Aerith,Right.
Tifa,Get down!
Tifa,"Good job, Aerith!"
Aerith,It was nothing compared to you!
Aerith,Thank you!
Aerith,"Okay, let's go rescue Cloud."
Tifa,"Corneo's room, right?"
Cloud,You depraved bastard!
Tifa,"Sorry, but... Your boys had to learn some manners too."
Aerith,Cloud! Your clothes!
Tifa, We'll ask the questions. Like why'd you have men in Sector 7 asking about Avalanche?
Tifa,Don't play dumb with me. Let's try again. Why did you have men in Sector 7 asking about Avalanche? Spill the beans or...
Cloud,I'll cut 'em off.
Tifa,Paid by who?
Tifa,Well you better...'cause if you don't...
Aerith,I'll rip 'em off.
Tifa,Shinra!? And what were they planning?
Aerith,"See, I'm not so sure they are. Better keep talking..."
Tifa,Or I'll smash 'em.
Tifa,The pillar?
Tifa,They wouldn't...
Aerith,"Come on, guys! We gotta go!"
Cloud,No.
Cloud,"When they're faced with certain death, jackass."
Cloud,When they think they've already won...right?
Cloud,I dunno. When they've lost their minds?
Cloud,Where in the...?
Cloud,"Damn, it reeks."
Cloud,Tifa?
Tifa,Cloud... We have to get to the slums—right now!
Cloud,Yeah.
Tifa,I didn't wanna drag Aerith into all this...
Cloud,She'll understand.
Tifa,How do you two know each other?
Cloud,"I saved her, she saved me... Round and round it goes."
Tifa,And...that's all there is to it? Sure there isn't something else going on?
Aerith,Dammit.
Cloud,Aerith.
Aerith,Cloud... We have to get to Sector 7...
Cloud,Yeah.
Tifa,That bastard!
Tifa,You gotta be kidding me!
Cloud,Good to go?
Aerith,You bet!
Tifa,Bring it on!
Tifa,There it goes...
Aerith,"Do you think it lives down here, or...?"
Cloud,Was probably Corneo's pet. And we were dinner.
Aerith,(mimics Corneo's laugh)
Tifa,"Hey... You don't believe that crazy story of his, do you? Shinra wouldn't sacrifice a whole sector just to take out Avalanche, would they? Destroying part of the city—killing all those people, just to get at us?"
Cloud,I dunno... Is Corneo the kind of guy who'd make up shit just to screw with you?
Tifa,I wouldn't put it past him.
Aerith,"But...if he was telling the truth... And there's still a chance he was, isn't there? Then...we should go. And if it turns out he was lying, then so what? Right?"
Cloud,Tifa!
Tifa,I knew it. These tunnels are all connected.
Cloud,What is it?
Tifa,"I'm pretty sure we can use these tunnels to make our way back to Sector 7. The sewers under Sectors 6 and 7 should be connected. ""If you get in trouble, just follow the stench."""
Cloud,Another one of those lessons?
Tifa,"An Avalanche saying, actually. We use them to move around the undercity. In emergencies."
Cloud,Sure we're not lost?
Tifa,Positive. There should be a big waterway just up ahead. Let's find that first.
Aerith,"Ugh, it reeks down here."
Tifa,"Well the undercity isn't exactly the prettiest place, and we're under that so..."
Tifa,Is it safe to go through here?
Aerith,It's really dark.
Tifa,I'm sure we'll be fine. Come on.
Tifa,"Hey, Cloud... Assuming Corneo was telling us the truth... What do you think Shinra's really up to? I mean, they've gotta have an endgame, but I can't imagine what it is. Destroying a whole chunk of the city just to get back at us doesn't make any kind of sense."
Cloud,Yeah. I can't imagine any way they could profit from it. It's gonna cost them a fortune to rebuild.
Tifa,Corneo's lying. He's gotta be. Guys like him do it all the time out of habit.
Cloud,Locked up tight.
Tifa,But not if we used the skeleton key Jessie made.
Aerith,Huh. Does this mean it's in the water?
Cloud,We'll see.
Cloud,"That's a power generator, all right."
Aerith,Wow. Talk about ancient.
Cloud,It's an antique—older than the mako reactors even. It'll be a miracle if it still works.
Cloud,This it?
Aerith,It worked!
Tifa,Wait a minute. I know this place. Sector 7 should be just on the other side of this waterway.
Cloud,So this is where Sector 6 ends.
Tifa,And where Sector 7 begins. Once we cross over we can start looking for a way back to the surface.
Cloud,Might be harder than you think.
Tifa,Let's just try to make our way down this tunnel. See if we can't use those gates to clear a path. We can do this. We'll figure it out.
Aerith,"Yeah, for sure."
Tifa,All right! Now we should be able to get across.
Cloud,"I'll go first, okay?"
Tifa,Dammit. I can't stop thinking about what Corneo said.
Aerith,I know... Me too.
Tifa,It's gotta be a trick. There's no way they'd go that far. But... But what if Corneo really was telling the truth...? We have to get there in time to stop it. We have to.
Aerith,Right.
Tifa,"Aerith, what are you not telling me?"
Aerith,Huh?
Cloud,Guys! C'mon! We gotta keep moving!
Tifa,Coming! I'll go first.
Tifa,Okay Aerith! Your turn!
Aerith,On my way! Here we...go.
Tifa,Almost there!
Tifa,Aerith!
Cloud,Jump!
Tifa,That was close.
Aerith,Thanks. You saved me.
Tifa,(chuckles) Least I could do.
Aerith,"Hear that, Cloud?"
Aerith,C'mon.
Tifa,Focus!
Aerith,Still thinking about the plate?
Tifa,Yeah.
Aerith,The future isn't...set in stone. That's what I always tell myself.
Tifa,Yeah...? I hope you're right.
Aerith,"How 'bout this, then? Think of something fun. After saving Sector 7, you're gonna...?"
Tifa,"I'm gonna... Go shopping—topside! I'll buy... Stuff for the bar! Decorations, coasters..."
Aerith,Can I come?
Tifa,You'd better!
Aerith,Then it's a date! (both laugh)
Tifa,Cloud can carry all our stuff!
Aerith,He'll be our pack chocobo!
Cloud,What was that about me?
Tifa,Nothing! (chuckles)
Tifa,Huh!? No way!
Aerith,"C'mon, Tifa!"
Aerith,Cloud! Hold on tight!
Tifa,"On three, okay? One, two, three!"
Cloud,Sorry 'bout that.
Aerith,No need to be.
Aerith,Look. That must be the way out!
Tifa,I wonder. There must be some way we can lower the water level.
Tifa,"Guys, check it out. Seventh Heaven's water tank has something similar. I'm betting we can use this to control the sewage level."
Aerith,Hey Cloud—you wanna give it a try?
Cloud,This oughta drain the water...right?
Aerith,No luck?
Cloud,Must be busted.
Tifa,"A red light indicates a blockage, apparently. We can use the hand pump to clear the blockage. Sounds about right. I remember having to do this at the bar before."
Cloud,Alright. I'll—
Tifa,"Aerith, you mind giving me a hand? Cloud, you stay put. Keep an eye out for more red lights."
Cloud,"Wait, I'm not sure—"
Tifa,Trust me. This is the best way to handle it. We'll be back soon.
Tifa,So maybe this is a little different from the one at the bar. More...industrial?
Aerith,Here goes.
Tifa,Spectacular!
Aerith,That went well.
Tifa,Try to stay in sync.
Tifa,Keep calm.
Aerith,Coulda gone better...
Tifa,"Alright, I think that did it!"
Aerith,Wonderful!
Tifa,"Okay, let's head back. Cloud's probably getting worried."
Cloud,Nicely done.
Tifa,We make a great team.
Aerith,Go team!
Aerith,Sure is nice to go up for a change.
Tifa,Hope the pillar's not much further...
Cloud,Hang back. I'll go on ahead and secure the exit.
Tifa,Cloud!
Tifa,Looks like they're hungry for more.
Aerith,We're not delicious! Not even a little bit!
Cloud,Get going.
Tifa,Now!
Aerith,Okay!
Cloud,You too!
Tifa,But there's too many of them!
Cloud,Not for me.
Tifa,Hurry!
Cloud,"Last warning! Back off, or die!"
Tifa,Cloud!
Aerith,C'mon!
Cloud,Just on patrol.
Aerith,Don't worry. We'll make it in time.
Cloud,We could get lost in here.
Tifa,This is the train graveyard all right—a real treasure trove of scrap. Sector 7 should be just past that large maintenance facility over there. I vote we stay past the light so we can see where we're going.
Aerith,"Dark, dark, everywhere..."
Cloud,That it?
Aerith,It's deserted...and kinda creepy.
Tifa,"People don't come around here often. And not just because of the monsters, but...because of the stories."
Aerith,What kind?
Tifa,"Everyone seems to think that the train graveyard...is haunted. ""Those who lose their way out there in the dark of night will never, ever find their way back home again."""
Cloud,Is that right?
Tifa,"I mean, it's not like I think it's true or anything, but you know...it's just..."
Cloud,Then let's hurry.
Tifa,"Guys, what was that!?"
Tifa,(screams) Don't scare me like that!
Tifa,I think I just heard a little kid... Did you guys hear it too?
Cloud,Why would there be kids out here this late?
Tifa,What? Then—
Tifa,Huh? What is that!?
Cloud,You okay?
Aerith,All good...I think.
Tifa,Still in one piece here too.
Tifa,Guys?
Cloud,Seriously?
Aerith,"""Come on,"" huh? Well, that's...inviting."
Cloud,"Alright, let's see what's inside."
Tifa,"Well, whaddya think...?"
Aerith,Hmm... I'm game!
Tifa,But...
Aerith,"It'll be fine! We've got a bodyguard, don't forget. Mine! Right?"
Cloud,Ghosts aren't my thing.
Tifa,You're just being modest! After you!
Cloud,"Mind letting me go, then?"
Tifa,What was that!?
Aerith,Look! Over there!
Aerith,Found you. Hey...can we talk? Just for a bit?
Cloud,Get back.
Aerith,It's you...
Aerith,Don't!
Cloud,That thing's dangerous.
Aerith,"I know, but even so..."
Tifa,What the—!?
Cloud,Run!
Cloud,You okay?
Tifa,Yeah.
Aerith,"Thanks, Cloud. You saved us."
Cloud,Gonna need to find another way through.
Tifa,Wh-what now?
Aerith,"That's not funny, you know."
Cloud,Guess the crane's up there.
Cloud,It's not working. There's no power coming through.
Aerith,I wonder if this is another prank? Someone might be messing with the power supply to make us run around.
Tifa,Do you think there's...more in here?
Aerith,Looks like.
Aerith,Aha! Found you!
Tifa,I'm pretty sure I saw a door on the other side of this place. I think our only choice might be to find another route.
Aerith,Tifa!
Aerith,"""Coming to get you""...?"
Cloud,I don't have time for your shit.
Aerith,"""That was fun""... All this time, you were waiting for someone to come and play with you."
Cloud,What're you talking about?
Cloud,"C'mon, let's get back to the crane."
Tifa,"""Those who lose their way out there in the dark of night will never, ever find their way back home again."" What do you guys think would've happened if they'd caught us?"
Aerith,I wonder... Maybe they're the ones who were caught.
Cloud,Can we just drop the whole—
Aerith,What if they're trapped here and can't leave?
Tifa,Just like we hoped! What a relief.
Aerith,We should be able to get through now.
Cloud,Let's find out.
Aerith,We're through!
Tifa,Great. Let's head outside.
Tifa,Wait.
Aerith,A girl?
Tifa,Marlene?
Tifa,"Marlene, what are you—"
Tifa,We can't waste any more time here.
Cloud,What was that about?
Tifa,Nothing you need to worry about. Let's get going.
Aerith,It's moving!
Tifa,Maybe now we can get to the other side.
Tifa,"This path is blocked too? But we're so close, I can see it."
Aerith,"Hey, do you think these trains might still run?"
Cloud,Could give it a try.
Cloud,Good call. Looks like it still works.
Aerith,I knew it!
Tifa,Everybody good?
Cloud,Yeah.
Aerith,Huh? I think that's...
Cloud,Tifa...
Tifa,They're really gonna drop the plate.
Cloud,They won't if Barret and the others have anything to say about it.
Aerith,All we can do now is keep moving.
Tifa,Please... Please let us be in time.
Cloud,Why am I not surprised?
Aerith,Wow—would you look at that!
Tifa,Thanks.
Cloud,Let's go.
Tifa,Almost there. Come on!
Cloud,Right.
Aerith,Cloud!
Cloud,Aerith!
Aerith,"You're just trying to help, aren't you?"
Aerith,You. You're the one who...
Cloud,Aerith!
Tifa,Hey. We found you.
Aerith,I guess you did.
Cloud,Let's go.
Tifa,How do we hurt it?
Aerith,Hit it with magic.
Cloud,It'll bounce right off. Gotta deal with the barrier first.
Aerith,Cloud!
Tifa,Look out!
Tifa,"Hold on, guys. We're coming."
Tifa,And you...can go to hell!
Tifa,Let's go.
Cloud,Right.
Aerith,Right!
Tifa,It's that ghost...
Tifa,Wow...
Aerith,So long.
Tifa,We made it!
Barret,"Got your lethal force right here, asshole!"
Tifa,Dropping a whole plate...just like that. No. No way.
Aerith,Tifa!
Aerith,Please! Let us through!
Cloud,What are you!?
Aerith,"Cloud, Tifa! We have to get past, whatever it takes!"
Tifa,Right!
Tifa,There's too many!
Cloud,Aerith?
Aerith,Come on!
Barret,What you got!? Come on!
Tifa,That's Barret!
Cloud,You okay!?
Cloud,I know.
Cloud,Stop! Stay with Wedge. I'm going up.
Aerith,Sure.
Tifa,"Wedge, please. Let Cloud handle it."
Aerith,Don't worry. I'll patch him up.
Cloud,Wedge—listen to me. You stay here with them.
Cloud,Biggs!
Cloud,Don't worry. He'll bounce back.
Cloud,Don't talk.
Cloud,I won't.
Cloud,What about you?
Cloud,"That, you'll have to do yourself."
Cloud,No.
Cloud,This isn't over.
Cloud,Not good.
Tifa,Get down!
Aerith,Thank you!
Aerith,How is it?
Tifa,I'm sorry. I can't stay here—I have to help them.
Aerith,Go. Follow your heart.
Tifa,Aerith. There's a bar in the center of town—Seventh Heaven. I need you to—
Aerith,Get Marlene to safety. Right? It's okay. I'll find her.
Tifa,Huh?
Tifa,"Can you take her to the bar for me, Wedge?"
Aerith,"Wedge, wait!"
Aerith,Wedge!
Aerith,"That's not true, Wedge. Don't give up hope yet! We can still save a lot of lives!"
Aerith,Mm.
Aerith,"Yeah... I do. But...that's no excuse to give up. I don't wanna look back one day...and wish I'd done it different. Right here, right now, I need to know I did everything I could."
Aerith,"Wedge! Seventh Heaven is just down this road, isn't it?"
Aerith,Don't worry about me!
Aerith,"Get out of Sector 7, please! You need to get as far away from Sector 7 as possible! Right now! Go to Sector 5 or 6—anywhere but here!"
Aerith,You all have to get out of Sector 7! Now! Please!
Aerith,"Well, there's still time, but..."
Aerith,Yes.
Aerith,Just a friend.
Aerith,I've got to get to Seventh Heaven!
Aerith,That's it!
Aerith,Oh no...
Aerith,Marlene!
Aerith,Ow... Marlene...
Aerith,"Oh, no! Need to find another way to get there!"
Aerith,Gotta get through. Gotta find a way.
Aerith,Finally!
Aerith,Hold on.
Aerith,"Oh, you poor thing!"
Aerith,"I know it must hurt...but you've got to be brave now, okay?"
Aerith,I'll take you to her. Ready?
Aerith,"Almost there, okay?"
Aerith,No need to rush. Steady now...
Aerith,I'll be fine. Don't worry about me.
Aerith,Can you take care of her?
Aerith,You'll be fine.
Aerith,"Please, I need to get through!"
Aerith,Almost there!
Aerith,Please be okay.
Aerith,"Hold on, Marlene. I'm coming for you."
Aerith,"You're Marlene, right?"
Aerith,I'm...a friend! Of Tifa's!
Aerith,"Right now, she's with Cloud and the others."
Aerith,You mean Barret? Yep. He's there too.
Aerith,"Not yet. That's why I came to find you. Tifa asked me to. She said, ""Take care of Marlene."" The thing is, this place isn't safe now. I'm gonna take you somewhere safer, okay?"
Aerith,"I know it's hard. Just remember, you still have your daddy. You can build a new home together. Anywhere. Shall we go?"
Aerith,Oh?
Aerith,I hope you remember it. C'mon.
Aerith,Tell you what. We'll grow lots of flowers at your new house.
Aerith,Of course you can. Hey—what's your favorite flower?
Aerith,Tseng.
Aerith,There's nothing to be scared of. Okay?
Aerith,How about...we make a deal?
Cloud,Gotta move.
Tifa,Cloud!
Cloud,What the hell!?
Tifa,Nice catch!
Cloud,You're crazy!
Tifa,"Just like you. So suck it up, 'cause I'm not leaving."
Cloud,Where's Aerith?
Tifa,I sent her to Seventh Heaven to get Marlene out.
Cloud,And Wedge?
Tifa,I asked him to show her the way.
Cloud,Okay.
Tifa,We can still stop this...right?
Cloud,Yeah.
Tifa,Then let's keep moving!
Tifa,What was that?
Tifa,Jessie!
Cloud,Like hell they're your last.
Cloud,Just try to hang on!
Cloud,Yeah. You owe me a pizza.
Tifa,Jessie...
Cloud,Hey...
Barret,(screams) I ain't done with you yet! You hear me!? Think you can come up in here—do what you want—and we're gonna take it!?
Tifa,Barret!
Barret,Tifa!? Get your ass behind cover! Now! Chopper's gonna chew you up!
Cloud,Still alive and kicking?
Barret,Damn right! Leadin' man sticks around till the credits roll! Though we gotta keep moving if we wanna make it that far. You ready?
Cloud,Yup.
Cloud,You!
Barret,"You're next, asshole!"
Cloud,Press it.
Cloud,Careful. He's quick.
Barret,"Yeah, quick at runnin' away, maybe!"
Cloud,Had to.
Cloud,"Heads up, guys!"
Barret,"Confident, ain't we?"
Cloud,How do we stop it?
Barret,Where you going!?
Cloud,Move!
Barret,Getting real tired of your shit!
Cloud,Tifa!
Barret,Where'dja—
Barret,You son of a bitch! What have you done!?
Tifa,Cloud!
Cloud,Tifa!
Tifa,What do we do!?
Tifa,You can't do this!
Tifa,Aerith!
Barret,Marlene? My Marlene!? What did you do with her!?
Cloud,Where are you!?
Cloud,"""Ancient""?"
Cloud,Aerith!
Tifa,"No, no, no..."
Barret,"If we don't get the hell outta here right now, we're dead! We gotta think of something! Think dammit think! Look around... Gotta be something! Shit...shit... Shit!"
Barret,Hey! Over here! Found us a way out!
Cloud,Tifa.
Barret,"C'mon, c'mon!"
Barret,Now!
Barret,Hey! Anybody out there!?
Tifa,Barret!?
Tifa,I think I hear him up ahead!
Barret,Hey! Can anybody hear me!?
Cloud,Here goes.
Tifa,And push!
Barret,Marlene... Marlene! Marlene!
Barret,Marlene! Biggs! Wedge! Jessie!
Barret,Goddammit. Goddamn you! Goddamn you all! (cries)
Barret,Marlene... Marlene... (cries)
Tifa,It was us. We did this.
Barret,"No. You can't think like that. Whatever came before, it was Shinra that pulled the trigger today. Am I right!?"
Tifa,...Yeah.
Barret,Hold on to this. This...anger. Okay?
Cloud,Barret. Marlene's fine. Aerith found her.
Barret,Aerith? Is that the girl they took?
Tifa,Yeah. That's her.
Barret,The hell's going on!?
Tifa,I asked Aerith to find Marlene and take her somewhere safe.
Barret,And she did? You sure!?
Barret,Hey! Where you going!?
Barret,I said—where you going?
Cloud,Aerith's house. It's in the Sector 5 slums.
Barret,And that's where Marlene is?
Cloud,Where we hope she is.
Barret,"Tell me she is! Give me something to hang on to! Even if she's not. I won't blame you for it, I swear!"
Barret,Who am I kidding. I'd probably try to tear your head off.
Cloud,"Hey, Tifa. Know anything about ""Ancients""?"
Tifa,I know I've heard of them at least.
Barret,"They come up in planetology books. Meant to be the original stewards of the planet. Could even ""commune"" with it. Talk to it and stuff."
Cloud,That must be why the Turks wanted her so badly.
Tifa,Cloud?
Cloud,It's nothing. Let's go.
Cloud,You doing all right?
Cloud,Wait. Over there.
Barret,What the hell are they doing here?
Cloud,"Their jobs, probably. Just focus on seeing Marlene again. Nothing else."
Cloud,Thanks to you I did.
Cloud,How bad is it here?
Barret,You guys run into Jessie at the pillar?
Tifa,Yeah...Biggs too. They were both in pretty bad shape. But Wedge wasn't up there with 'em. He got out.
Barret,All right.
Barret,"I've been thinking, y'all... We gotta go find the others."
Tifa,Huh?
Barret,"If we don't look for them, who will?"
Tifa,...Right.
Barret,"Hey, Cloud. Gonna need your help with it too."
Cloud,Right.
Barret,"This is Sector 5, right? So where's this place you said Marlene is?"
Cloud,Where I think she is. It's a house on the other side of town.
Barret,"Well, come on then, pick up the pace!"
Cloud,I'm going as fast as you are.
Cloud,That's the house.
Barret,Marlene! Marlene!
Barret,Where's Marlene!? Is she here!?
Cloud,Barret!
Barret,"Sorry. I'm Barret. Marlene's my little girl. Marlene—she's got short hair. She's cute as a button, with the heart of an angel. She was wearing... Uh...pink! She was wearing a pink dress today!"
Tifa,I wanna see her too. C'mon. Let's go look in on her.
Barret,Marlene...my baby. Thank god.
Tifa,Sh.
Cloud,I'm sorry.
Tifa,"No. I'm the one who asked her to go get Marlene. We'd only just met, but she was so kind and helpful. I...took advantage of her."
Cloud,Because she's an Ancient. That it?
Barret,"Their planet, huh? Yeah, that sounds about right."
Cloud,"They knew where she was, but they didn't just take her? Doesn't sound like the Turks I know."
Cloud,I doubt it.
Tifa,Cloud. Maybe she's right about this. Maybe they'll let Aerith go when it's all over. Maybe...we'd be better off waiting a little while.
Barret,Let's head back to Sector 7. Got things to take care of. Like...checking up on the bar.
Tifa,Yeah.
Cloud,Okay.
Barret,We're gonna win this fight. I promise.
Tifa,The main entrance to Sector 7 is buried under rubble now. So how are we supposed to get back inside?
Cloud,Underground passage in the park.
Barret,"Ah, good plan."
Tifa,But how do we get to the park?
Cloud,I know another way to get there. Aerith showed me before.
Barret,Heh. This Ancient girl knows her stuff. Didn't mean anythin' by it.
Barret,"Aight, let's keep moving."
Barret,Friends of yours!
Tifa,Over there!
Barret,Huh? That a way out?
Tifa,I'm almost afraid to go back. To see it with my own eyes...
Cloud,Tifa...
Tifa,Come on.
Barret,Wymer! You're alive!
Barret,Who else made it out?
Tifa,It's fine.
Barret,I'm just glad you survived. Gives me hope for the others.
Barret,Yeah... Left a few things behind.
Barret,Okay. Let's see what's on the other side.
Barret,Again!?
Cloud,That one was a lot closer.
Barret,My god...
Barret,Make room!
Tifa,Marle!
Cloud,With me. Ready and—
Barret,"Great job, guys."
Barret,Don't know. Find something—anything—to do.
Barret,No.
Barret,Okay. First the bar...then the rest.
Barret,"Hello! Anybody out there!? If you can hear me, say something!"
Cloud,Tifa.
Cloud,Get back!
Barret,Shit!
Tifa,Hear that?
Cloud,That's Wedge's cat.
Barret,What?
Tifa,Let's follow it.
Barret,"Ready? One, two, three!"
Tifa,Is this all that's left of Wedge's place?
Barret,Hey! We're coming down! Stay right where you are!
Barret,Hmph. This place reeks of Shinra.
Tifa,Wedge?
Barret,Wedge!
Barret,Of all the times! (screams)
Barret,Tifa! Cloud! Shout if you can hear me! Hey!
Barret,"If there's no path, you gotta make one."
Barret,Must be a secret Shinra facility.
Barret,How long it take 'em to build all this beneath our feet?
Barret,Man...you'd think they dug halfway to hell.
Barret,"Just no escapin' them, is there?"
Barret,I'm really gonna enjoy burning it all down.
Barret,"Tifa! Hey, Tifa!"
Tifa,Barret!
Barret,You okay?
Tifa,"To tell you the truth, not really. I think there's a nest around here somewhere. Can you take care of it?"
Barret,I gotcha!
Barret,Sorry.
Tifa,I don't know.
Barret,"Well, he can take care of himself. We've got bigger issues."
Barret,Are you all right?
Tifa,"Yeah, I'm good, thanks."
Barret,All right. Gotta go find Wedge. Come on.
Tifa,"I'm afraid to ask, but did you just shoot your way in here?"
Barret,"Well, yeah. Worked, didn't it?"
Barret,If I gotta climb another damn ladder...
Tifa,Hey. You think Wedge is holding up okay?
Barret,"Of course he is. He's a lot tougher than people think. Probably sleeping soundly, dreaming about his cats."
Tifa,You're right. We should treat him to a nice meal when he gets back. His choice.
Barret,Gotta stay on my toes if I'm gonna make it outta here alive.
Barret,Wedge!
Tifa,He's okay.
Barret,You sure?
Barret,(chuckles) Making me worry like that. I'd kick your ass if you didn't look like shit! Thank god.
Tifa,Thank you!
Tifa,Okay. Let's go.
Barret,Uh—sure!
Barret,Yup...it's you all right.
Tifa,What is this...?
Tifa,Barret!
Barret,The hell is this now!?
Barret,Where were you freaks hiding!?
Tifa,Are they Shinra experiments!?
Barret,"Hah! Well if that's the case, then it's only right we put the bastards down!"
Barret,"Ah, of course there's more."
Tifa,You good?
Barret,Like you even gotta ask!
Barret,Gettin' real tired of this shit!
Tifa,This is ridiculous.
Barret,"We gotta close that duct. Tifa, you're up!"
Tifa,Okay! Cover me!
Barret,Tifa!
Tifa,Seriously!?
Tifa,It's using its friends as weapons!?
Barret,"Hey, Tifa! Heads up!"
Barret,Huh! Getting tired?
Tifa,Look!
Barret,"(laughs) Well, that sure looks like a weak point to me!"
Barret,All that's left is to deal with these freaks!
Tifa,Cloud!
Barret,"Bout time, merc."
Cloud,You're up.
Barret,Late to the party and you're giving me orders?
Barret,Hell yeah!
Barret,So how'd you manage to track us down?
Cloud,Followed the trail of bullet holes. There's nobody else I know who'd leave that kinda mess.
Tifa,"Oh, god...were those..."
Barret,People?
Cloud,Yeah. That's the Shinra I know.
Tifa,Cloud?
Barret,What the hell was that?
Tifa,We need to get him somewhere safe. Everything else can wait until after.
Barret,Agreed. Let's go.
Tifa,Cloud.
Cloud,Good kitty.
Barret,"I want you to take Wedge back for me. I'm gonna look around for the others. He made it, didn't he? They could still be alive."
Cloud,"I saw them both at the pillar... Jessie and Biggs. Saw...how bad they were hurt. I'm sorry, but..."
Barret,Don't.
Tifa,They've returned to the planet.
Barret,They...they were supposed to return to us.
Barret,But if we stop now...they'll never let us live it down. So...we carry that weight.
Barret,I'm sorry. I truly am. We had no other place to go and...
Cloud,"Elmyra. I know what you said, but you have to let us go after Aerith."
Cloud,"We found an underground Shinra lab where they've done human testing. This wasn't the first time and it won't be the last. I know these people, and I know they're never gonna let Aerith go. She's the last living Ancient on the planet. Think about what that means to Shinra's scientists. Especially to that son of a bitch Hojo. We're all just numbers and meat to him."
Cloud,But—
Barret,You should rest up while you can.
Cloud,Likewise.
Barret,"Nah, I'm good—real good. 'Sides, when I close my eyes, I start thinking 'bout things. 'Bout people. Like Finn. Lazy little punk. Kid would do damn near anything 'cept what you told him. But ask him to paint you a picture and boy howdy. Those Stamps in the tunnels? Finn's work. Every one."
Barret,"Then there's Al. Intel guy. He had these tricks for stealing codes I still don't understand. Stole his share of hearts, too. But, when it came to the ladies, he just had the one trick. Bouquet of flowers hidden behind his back. Funny to think, some of 'em might've even come from here. He pulled the flower trick on Tifa once, believe it or not. She told him where to stick 'em."
Cloud,Course she did.
